video_id,video_title,question,timestamp,seconds
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Eliyahu na wizji. (ale posłuchać warto od początku),5:00,300
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Proszę o pytania (poważne i mądre) o judaizm.,10:35,635
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Filmy dla wspierających.,13:20,800
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Co powinno się robić w miesiącu adar.,15:54,954
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Święto Purim (podcast).,17:18,1038
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Nowe filmy na kanale.,21:00,1260
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Rola kobiet w judaizmie?,25:00,1500
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Czy będzie film o seksualności w judaizmie?,25:40,1540
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Dlaczego mężczyzna rano powinien jeść chleb (z nauk Talmudu).,27:05,1625
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Czy jest możliwość odnowienia kultu w świątyni w Jerozolimie?,28:23,1703
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Spotkanie na ZOOM.,31:10,1870
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Wycieczka po dzielnicy żydowskiej?,34:00,2040
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Wspieranie kanału.,34:20,2060
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,"Czy rodzina, która przeprowadza konwersję może uczestniczyć w Pesach (kolacji sederowej)?",35:05,2105
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Dlaczego zniechęca się do konwersji?,36:54,2214
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Dlaczego podczas Purim trzeba tak dużo pić (alkoholu)?,38:49,2329
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Czy chasydzi mogą obchodzić Walentynki?,39:59,2399
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Tora czy Tojra?,40:11,2411
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,"Obowiązki wobec państwa, w którym się żyje?",42:20,2540
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Po czym Żydzi rozpoznają prawdziwego Mesjasza?,44:51,2691
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Kiedy będzie film o zwierzętach?,45:53,2753
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Czym różni się tefilin Rashi od Rabbeinu Tam? oraz Raved i Shimusha Rabba?,46:12,2772
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,"Czy są jakieś zawody, których nie mogą wykonywać chasydzi?",48:01,2881
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Kiedy kobieta idzie pierwszy raz do mykwy?,49:31,2971
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Gdzie najlepiej zjeść po żydowsku w Nowym Jorku?,50:05,3005
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Czym różnią się litwacy od chasydów?,52:51,3171
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,"Jak radzić sobie w trudnych chwilach, gdy jest się na dnie?",54:51,3291
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Czy prawo Noego zakazuje wróżenia?,57:47,3467
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Wspieranie kanału.,1:07:45,4065
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Jak się przyrządza farfel?,1:09:00,4140
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Uzyskanie jakiegoś tytułu?,1:10:58,4258
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Proszę o pytania związane z judaizmem.,1:11:41,4301
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Jaki jest koszt wizyty w mykwie?,1:13:29,4409
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Czy żywność może być równocześnie koszerna i halal?,1:14:38,4478
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Koszerność chińskich potraw?,1:16:38,4598
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Czy będzie film o tałesie modlitewnym?,1:18:19,4699
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,"Czy serial ""Shtisel"" odzwierciedla prawdziwe życie Żydów?",1:19:56,4796
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Spotkanie na ZOOM.,1:22:15,4935
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Jaki sens ma studiowanie judaizmu na studiach wyższych?,1:23:54,5034
ZQuUUn1b8io,Zapytaj Żyda Spotkanie Live Q&A,Spotkania internetowe z Eliyahu.,1:26:16,5176
sMYyRhg7OsM,"Live - Zapytaj Żyda - Pesach - święto wolności, macy i duzej ilosci wina!",Eliyahu na wizji. (ale posłuchać warto od początku),5:40,340
sMYyRhg7OsM,"Live - Zapytaj Żyda - Pesach - święto wolności, macy i duzej ilosci wina!",Film o paznokciach na kanale. (oraz inne filmy dla wspierających),8:30,510
sMYyRhg7OsM,"Live - Zapytaj Żyda - Pesach - święto wolności, macy i duzej ilosci wina!",Jak Żydzi postrzegają pomoc innym?,12:09,729
